fixed_acidity,volatile_acidity,citric_acid,residual_sugar
7.4,0.7,0,1.9
7.8,0.88,0,2.6
7.8,0.76,0.04,2.3
11.2,0.28,0.56,1.9
7.4,0.7,0,1.9
7.4,0.66,0,1.8
7.9,0.6,0.06,1.6
7.3,0.65,0,1.2
7.8,0.58,0.02,2
7.5,0.5,0.36,6.1
6.7,0.58,0.08,1.8
7.5,0.5,0.36,6.1
5.6,0.615,0,1.6
7.8,0.61,0.29,1.6
8.9,0.62,0.18,3.8
8.9,0.62,0.19,3.9
8.5,0.28,0.56,1.8
8.1,0.56,0.28,1.7
7.4,0.59,0.08,4.4
7.9,0.32,0.51,1.8
8.9,0.22,0.48,1.8
7.6,0.39,0.31,2.3
7.9,0.43,0.21,1.6
8.5,0.49,0.11,2.3
6.9,0.4,0.14,2.4
6.3,0.39,0.16,1.4
7.6,0.41,0.24,1.8
7.9,0.43,0.21,1.6
7.1,0.71,0,1.9
7.8,0.645,0,2
6.7,0.675,0.07,2.4
6.9,0.685,0,2.5
8.3,0.655,0.12,2.3
6.9,0.605,0.12,10.7
5.2,0.32,0.25,1.8
7.8,0.645,0,5.5
7.8,0.6,0.14,2.4
8.1,0.38,0.28,2.1
5.7,1.13,0.09,1.5
7.3,0.45,0.36,5.9
7.3,0.45,0.36,5.9
8.8,0.61,0.3,2.8
7.5,0.49,0.2,2.6
8.1,0.66,0.22,2.2
6.8,0.67,0.02,1.8
4.6,0.52,0.15,2.1
7.7,0.935,0.43,2.2
8.7,0.29,0.52,1.6
6.4,0.4,0.23,1.6
5.6,0.31,0.37,1.4
8.8,0.66,0.26,1.7
6.6,0.52,0.04,2.2
6.6,0.5,0.04,2.1
8.6,0.38,0.36,3
7.6,0.51,0.15,2.8
7.7,0.62,0.04,3.8
10.2,0.42,0.57,3.4
7.5,0.63,0.12,5.1
7.8,0.59,0.18,2.3
7.3,0.39,0.31,2.4
8.8,0.4,0.4,2.2
7.7,0.69,0.49,1.8
7.5,0.52,0.16,1.9
7,0.735,0.05,2
7.2,0.725,0.05,4.65
7.2,0.725,0.05,4.65
7.5,0.52,0.11,1.5
6.6,0.705,0.07,1.6
9.3,0.32,0.57,2
8,0.705,0.05,1.9
7.7,0.63,0.08,1.9
7.7,0.67,0.23,2.1
7.7,0.69,0.22,1.9
8.3,0.675,0.26,2.1
9.7,0.32,0.54,2.5
8.8,0.41,0.64,2.2
8.8,0.41,0.64,2.2
6.8,0.785,0,2.4
6.7,0.75,0.12,2
8.3,0.625,0.2,1.5
6.2,0.45,0.2,1.6
7.8,0.43,0.7,1.9
7.4,0.5,0.47,2
7.3,0.67,0.26,1.8
6.3,0.3,0.48,1.8
6.9,0.55,0.15,2.2
8.6,0.49,0.28,1.9
7.7,0.49,0.26,1.9
9.3,0.39,0.44,2.1
7,0.62,0.08,1.8
7.9,0.52,0.26,1.9
8.6,0.49,0.28,1.9
8.6,0.49,0.29,2
7.7,0.49,0.26,1.9
5,1.02,0.04,1.4
4.7,0.6,0.17,2.3
6.8,0.775,0,3
7,0.5,0.25,2
7.6,0.9,0.06,2.5
8.1,0.545,0.18,1.9
8.3,0.61,0.3,2.1
7.8,0.5,0.3,1.9
8.1,0.545,0.18,1.9
8.1,0.575,0.22,2.1
7.2,0.49,0.24,2.2
8.1,0.575,0.22,2.1
7.8,0.41,0.68,1.7
6.2,0.63,0.31,1.7
8,0.33,0.53,2.5
8.1,0.785,0.52,2
7.8,0.56,0.19,1.8
8.4,0.62,0.09,2.2
8.4,0.6,0.1,2.2
10.1,0.31,0.44,2.3
7.8,0.56,0.19,1.8
9.4,0.4,0.31,2.2
8.3,0.54,0.28,1.9
7.8,0.56,0.12,2
8.8,0.55,0.04,2.2
7,0.69,0.08,1.8
7.3,1.07,0.09,1.7
8.8,0.55,0.04,2.2
7.3,0.695,0,2.5
8,0.71,0,2.6
7.8,0.5,0.17,1.6
9,0.62,0.04,1.9
8.2,1.33,0,1.7
8.1,1.33,0,1.8
8,0.59,0.16,1.8
6.1,0.38,0.15,1.8
8,0.745,0.56,2
5.6,0.5,0.09,2.3
5.6,0.5,0.09,2.3
6.6,0.5,0.01,1.5
7.9,1.04,0.05,2.2
8.4,0.745,0.11,1.9
8.3,0.715,0.15,1.8
7.2,0.415,0.36,2
7.8,0.56,0.19,2.1
7.8,0.56,0.19,2
8.4,0.745,0.11,1.9
8.3,0.715,0.15,1.8
5.2,0.34,0,1.8
6.3,0.39,0.08,1.7
5.2,0.34,0,1.8
8.1,0.67,0.55,1.8
5.8,0.68,0.02,1.8
7.6,0.49,0.26,1.6
6.9,0.49,0.1,2.3
8.2,0.4,0.44,2.8
7.3,0.33,0.47,2.1
9.2,0.52,1,3.4
7.5,0.6,0.03,1.8
7.5,0.6,0.03,1.8
7.1,0.43,0.42,5.5
7.1,0.43,0.42,5.5
7.1,0.43,0.42,5.5
7.1,0.43,0.42,5.5
7.1,0.68,0,2.2
6.8,0.6,0.18,1.9
7.6,0.95,0.03,2
7.6,0.68,0.02,1.3
7.8,0.53,0.04,1.7
7.4,0.6,0.26,7.3
7.3,0.59,0.26,7.2
7.8,0.63,0.48,1.7
6.8,0.64,0.1,2.1
7.3,0.55,0.03,1.6
6.8,0.63,0.07,2.1
7.5,0.705,0.24,1.8
7.9,0.885,0.03,1.8
8,0.42,0.17,2
8,0.42,0.17,2
7.4,0.62,0.05,1.9
7.3,0.38,0.21,2
6.9,0.5,0.04,1.5
7.3,0.38,0.21,2
7.5,0.52,0.42,2.3
7,0.805,0,2.5
8.8,0.61,0.14,2.4
8.8,0.61,0.14,2.4
8.9,0.61,0.49,2
7.2,0.73,0.02,2.5
6.8,0.61,0.2,1.8
6.7,0.62,0.21,1.9
8.9,0.31,0.57,2
7.4,0.39,0.48,2
7.7,0.705,0.1,2.6
7.9,0.5,0.33,2
7.9,0.49,0.32,1.9
8.2,0.5,0.35,2.9
6.4,0.37,0.25,1.9
6.8,0.63,0.12,3.8
7.6,0.55,0.21,2.2
7.6,0.55,0.21,2.2
7.8,0.59,0.33,2
7.3,0.58,0.3,2.4
11.5,0.3,0.6,2
5.4,0.835,0.08,1.2
6.9,1.09,0.06,2.1
9.6,0.32,0.47,1.4
8.8,0.37,0.48,2.1
6.8,0.5,0.11,1.5
7,0.42,0.35,1.6
7,0.43,0.36,1.6
12.8,0.3,0.74,2.6
12.8,0.3,0.74,2.6
7.8,0.57,0.31,1.8
7.8,0.44,0.28,2.7
11,0.3,0.58,2.1
9.7,0.53,0.6,2
8,0.725,0.24,2.8
11.6,0.44,0.64,2.1
8.2,0.57,0.26,2.2
7.8,0.735,0.08,2.4
7,0.49,0.49,5.6
8.7,0.625,0.16,2
8.1,0.725,0.22,2.2
7.5,0.49,0.19,1.9
7.8,0.53,0.33,2.4
7.8,0.34,0.37,2
7.4,0.53,0.26,2
6.8,0.61,0.04,1.5
8.6,0.645,0.25,2
