,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Time
30,WDC,Western Digital Corporation,55.39,+5.86,11.83,15.403M,5.094M,16.852B,2020-12-31  16:22:07
19,MU,"Micron Technology, Inc.",75.18,+3.26,4.53,22.962M,16.682M,83.969B,2020-12-31  16:22:07
73,WISH,ContextLogic Inc.,18.24,+0.66,3.75,7.809M,15.463M,12.403B,2020-12-31  16:22:07
42,VTRS,Viatris Inc.,18.74,+0.61,3.36,14.036M,11.747M,22.529B,2020-12-31  16:22:07
62,GILD,"Gilead Sciences, Inc.",58.26,+1.61,2.84,10.569M,9.421M,73.031B,2020-12-31  16:22:07
68,CMCSA,Comcast Corporation,52.40,+1.19,2.32,10.995M,17.222M,239.747B,2020-12-31  16:22:07
13,INTC,Intel Corporation,49.82,+1.07,2.19,28.022M,35.911M,204.162B,2020-12-31  16:22:07
4,TSLA,"Tesla, Inc.",705.67,+10.89,1.57,49.095M,43.928M,668.905B,2020-12-31  16:22:07
53,ZNGA,Zynga Inc.,9.87,+0.15,1.54,12.316M,21.637M,10.65B,2020-12-31  16:22:07
37,SNAP,Snap Inc.,50.07,+0.72,1.46,15.535M,34.293M,74.603B,2020-12-31  16:22:07
22,WFC,Wells Fargo & Company,30.18,+0.43,1.45,20.057M,38.258M,124.779B,2020-12-31  16:22:07
89,WBA,"Walgreens Boots Alliance, Inc.",39.88,+0.54,1.37,7.535M,7.747M,34.452B,2020-12-31  16:22:07
95,JPM,JPMorgan Chase & Co.,127.07,+1.71,1.36,8.267M,14.705M,387.335B,2020-12-31  16:22:07
57,C,Citigroup Inc.,61.66,+0.80,1.31,11.995M,23.783M,128.376B,2020-12-31  16:22:07
20,XPEV,XPeng Inc.,42.83,+0.54,1.28,20.298M,30.219M,30.546B,2020-12-31  16:22:07
65,DD,"DuPont de Nemours, Inc.",71.11,+0.81,1.15,9.259M,4.59M,52.184B,2020-12-31  16:22:07
14,BAC,Bank of America Corporation,30.31,+0.33,1.1,28.245M,56.85M,262.205B,2020-12-31  16:22:07
25,NLY,"Annaly Capital Management, Inc.",8.45,+0.09,1.08,17.064M,12.324M,11.815B,2020-12-31  16:22:07
59,VZ,Verizon Communications Inc.,58.75,+0.61,1.05,12.419M,15.084M,243.113B,2020-12-31  16:22:07
